,直營店,加盟店,縣市,地區,店鋪名稱,店鋪號,服務編號,地址,電話-1,電話-2
全家新竹大庄店,,O,新竹市,香山區,新竹大庄,016851,19181,新竹市香山區香北路86號1樓,03-6215229,03-5402252
全家新竹牛埔店,,O,新竹市,香山區,新竹牛埔,019173,59173,新竹市香山區經國路3段90號,03-6214108,03-5301956
全家竹南大埔五店,,O,苗栗縣,竹南鎮,竹南大埔五,023678,63678,苗栗縣竹南鎮大同段1106地號及其地上物(配送用),037-,037-586490
全家竹南火車頭店,,O,苗栗縣,竹南鎮,竹南火車頭,020995,55855,苗栗縣竹南鎮中山路166號2樓,037-775109,037-462484
全家竹南京華店,,O,苗栗縣,竹南鎮,竹南京華,021251,53607,苗栗縣竹南鎮中華路123號1樓,037-775280,037-668774
全家竹南中華店,,O,苗栗縣,竹南鎮,竹南中華,015100,12076,苗栗縣竹南鎮中華路189號1樓、2樓,037-775239,037-595730
全家竹南京元店,,O,苗栗縣,竹南鎮,竹南京元,019445,12132,苗栗縣竹南鎮中華路118號,037-670236,037-670239
全家竹南廣源店,,O,苗栗縣,竹南鎮,竹南廣源,018652,16409,苗栗縣竹南鎮公義路1636-1號1樓,037-775245,037-586466
全家竹南中義店,O,,苗栗縣,竹南鎮,竹南中義,018101,50696,苗栗縣竹南鎮公義路1354號1樓,037-775240,037-586083
全家竹南新豐店,,O,苗栗縣,竹南鎮,竹南新豐,020021,52388,苗栗縣竹南鎮公義路136號6樓,037-,037-635603
全家竹南金山店,,O,苗栗縣,竹南鎮,竹南金山,019794,59794,苗栗縣竹南鎮公義路436號,037-775762,037-583141
全家竹南天文店,,O,苗栗縣,竹南鎮,竹南天文,017643,57643,苗栗縣竹南鎮天文路51號,037-775204,037-611158
全家竹南崁頂店,,O,苗栗縣,竹南鎮,竹南崁頂,018828,16867,苗栗縣竹南鎮永貞路二段149號,037-775242,037-614709
全家竹南光華店,,O,苗栗縣,竹南鎮,竹南光華,021463,16543,苗栗縣竹南鎮光復路241號1樓,037-775241,037-484619
全家竹南照南店,,O,苗栗縣,竹南鎮,竹南照南,022745,62745,苗栗縣竹南鎮光復路412、416號,037-,037-552140
全家竹南大營店,,O,苗栗縣,竹南鎮,竹南大營,023083,58341,苗栗縣竹南鎮自由街198號,037-775111,037-462542
全家竹南龍佳店,O,,苗栗縣,竹南鎮,竹南龍佳,015378,14252,苗栗縣竹南鎮佳北二街1號,037-775247,037-615681
全家竹南海口店,,O,苗栗縣,竹南鎮,竹南海口,021160,61160,苗栗縣竹南鎮明勝路259號及明德段1、2地號,037-774105,037-477191
全家竹南旺大埔店,,O,苗栗縣,竹南鎮,竹南旺大埔,023109,63109,苗栗縣竹南鎮科專七路136號,037-,037-586051
全家竹南金大埔店,,O,苗栗縣,竹南鎮,竹南金大埔,017948,57948,苗栗縣竹南鎮科專七路221號,037-775305,037-583680
全家竹南正大埔店,,O,苗栗縣,竹南鎮,竹南正大埔,023637,58040,苗栗縣竹南鎮科專五路248號1樓,037-775214,037-583620
全家竹南福大埔店,,O,苗栗縣,竹南鎮,竹南福大埔,022107,62107,苗栗縣竹南鎮科專五路500號,037-,037-586427
全家竹南家扶店,,O,苗栗縣,竹南鎮,竹南家扶,014751,14151,苗栗縣竹南鎮科學路160號1樓,037-582276,037-584849
全家竹南向翔店,,O,苗栗縣,竹南鎮,竹南向翔,022698,62698,苗栗縣竹南鎮真如路343號,037-,037-482340
全家竹南博愛店,,O,苗栗縣,竹南鎮,竹南博愛,018211,52671,苗栗縣竹南鎮博愛街53號1樓及地下室,037-775170,037-480834
全家竹南新七囍店,,O,苗栗縣,竹南鎮,竹南新七囍,015352,54341,苗栗縣竹南鎮博愛街799號,037-775238,037-550642
全家竹南新群聯店,,O,苗栗縣,竹南鎮,竹南新群聯,022051,62051,苗栗縣竹南鎮群義路1號7樓,037-,037-583247
全家竹南龍鳳店,,O,苗栗縣,竹南鎮,竹南龍鳳,017350,16896,苗栗縣竹南鎮龍鳳里20鄰龍山路一段167號,037-775248,037-479480
全家竹南龍好店,,O,苗栗縣,竹南鎮,竹南龍好,020667,55535,苗栗縣竹南鎮龍山路二段2號一樓,037-775076,037-462495
全家竹南龍天店,,O,苗栗縣,竹南鎮,竹南龍天,023396,15081,苗栗縣竹南鎮聖福里龍天路57號1樓,037-775246,037-474675
全家竹南環營店,,O,苗栗縣,竹南鎮,竹南環營,021550,50195,苗栗縣竹南鎮環市路一段162號,037-775251,037-480422
全家竹南環市店,,O,苗栗縣,竹南鎮,竹南環市,016805,16788,苗栗縣竹南鎮環市路二段75號1樓2樓,037-775249,037-478611
全家頭份大同店,,O,苗栗縣,頭份市,頭份大同,017066,12455,苗栗縣頭份市建國里大同路1號一樓,037-775253,037-598262
全家頭份斗煥店,,O,苗栗縣,頭份市,頭份斗煥,021912,11978,苗栗縣頭份市大營路1號,037-775258,037-691198
全家頭份信義店,,O,苗栗縣,頭份市,頭份信義,023470,52214,苗栗縣頭份市中山路53號1樓及地下室,037-775070,037-691745
全家頭份新市鎮店,,O,苗栗縣,頭份市,頭份新市鎮,020666,57423,苗栗縣頭份市中央路753號1樓,037-,037-630276
全家頭份金斗店,,O,苗栗縣,頭份市,頭份金斗,019547,59547,苗栗縣頭份市中正二路365號,037-775593,037-680660
全家頭份上公園店,,O,苗栗縣,頭份市,頭份上公園,016598,56598,苗栗縣頭份市中正路356號,037-775068,037-592732
全家頭份超豐店,,O,苗栗縣,頭份市,頭份超豐,021242,61242,苗栗縣頭份市中民路9號5樓,037-,037-662201
全家頭份尖山店,,O,苗栗縣,頭份市,頭份尖山,018406,58406,苗栗縣頭份市中華路8號,037-775237,037-634989
全家頭份立華店,,O,苗栗縣,頭份市,頭份立華,020302,19005,苗栗縣頭份市中華路600之8號1樓,037-775260,037-695982
全家頭份武昌店,O,,苗栗縣,頭份市,頭份武昌,017011,19483,苗栗縣頭份市中華路1322號1樓,037-775262,037-662470
全家頭份公園店,,O,苗栗縣,頭份市,頭份公園,023947,11894,苗栗縣頭份市東庄里公園路2號,037-775256,037-637836
全家頭份文化店,,O,苗栗縣,頭份市,頭份文化,023010,12980,苗栗縣頭份市後庄里文化街209號一樓,037-775257,037-687195
全家頭份向慶店,,O,苗栗縣,頭份市,頭份向慶,023905,63905,苗栗縣頭份市水源路276號,037-,037-696245
全家頭份田寮店,O,,苗栗縣,頭份市,頭份田寮,020433,19752,苗栗縣頭份市田寮里10鄰自強路2段628號,037-775259,037-637825
全家頭份和平店,,O,苗栗縣,頭份市,頭份和平,019690,12658,苗栗縣頭份市和平路83號1樓,037-775261,037-595069
全家頭份尚順二店,,O,苗栗縣,頭份市,頭份尚順二,018117,57627,苗栗縣頭份市尚順路50號1樓,037-775164,037-696023
全家頭份富隆店,,O,苗栗縣,頭份市,頭份富隆,022976,62976,苗栗縣頭份市昌隆一街107號1樓,037-,037-696852
全家頭份尚順店,,O,苗栗縣,頭份市,頭份尚順,019541,53792,苗栗縣頭份市東民三街1號1樓,037-,037-596441
全家頭份地中海店,,O,苗栗縣,頭份市,頭份地中海,021238,61238,苗栗縣頭份市花園東路98號1樓,037-774106,037-695916
全家頭份大亨店,,O,苗栗縣,頭份市,頭份大亨,023977,63977,苗栗縣頭份市信東路363號,037-,037-695078
全家頭份八寶店,,O,苗栗縣,頭份市,頭份八寶,017835,15243,苗栗縣頭份市信義路533號1樓,037-775201,037-625806
全家南庄桂花園店,O,,苗栗縣,南庄鄉,南庄桂花園,020245,14210,苗栗縣南庄鄉南江村5鄰東江89號1樓,037-775203,037-823692
全家苗栗獅潭店,,O,苗栗縣,獅潭鄉,苗栗獅潭,015873,15501,苗栗縣獅潭鄉新店村新店150之6號一樓,037-775220,037-932482
全家後龍好望角店,,O,苗栗縣,後龍鎮,後龍好望角,018500,58500,苗栗縣後龍鎮十班坑155-11號,037-775341,037-727508
全家後龍大龍店,,O,苗栗縣,後龍鎮,後龍大龍,016901,50047,苗栗縣後龍鎮中北街67-3號67-4號67-5號,037-775205,037-729069
全家苗栗高鐵店,,O,苗栗縣,後龍鎮,苗栗高鐵,021615,54450,苗栗縣後龍鎮高鐵三路268號,037-,037-248133
全家後龍新東店,O,,苗栗縣,後龍鎮,後龍新東,021196,12269,苗栗縣後龍鎮豐富里造豐路126號,037-775207,037-731679
全家通霄中正店,,O,苗栗縣,通霄鎮,通霄中正,024123,11449,苗栗縣通霄鎮中正路80號,037-775225,037-759228
全家通霄河堤店,,O,苗栗縣,通霄鎮,通霄河堤,022300,55193,苗栗縣通霄鎮忠孝路8-1號,037-775125,037-757074
全家苑裡社苓店,,O,苗栗縣,苑裡鎮,苑裡社苓,021918,19118,苗栗縣苑裡鎮社苓里110-5號,037-775230,037-745382
全家苑裡甜心店,O,,苗栗縣,苑裡鎮,苑裡甜心,017737,50497,苗栗縣苑裡鎮山柑里9鄰山柑93號,037-775231,037-741579
全家苑裡舊社店,,O,苗栗縣,苑裡鎮,苑裡舊社,023962,60287,苗栗縣苑裡鎮舊社里6鄰舊社83之8號,037-776132,037-741449
全家苑裡新興店,O,,苗栗縣,苑裡鎮,苑裡新興,015523,18905,苗栗縣苑裡鎮大同路3號,037-775229,037-860826
全家苑裡西施店,,O,苗栗縣,苑裡鎮,苑裡西施,023806,63806,苗栗縣苑裡鎮介壽路13之32號,037-,037-863759
全家苑裡金客庄店,,O,苗栗縣,苑裡鎮,苑裡金客庄,023948,60922,苗栗縣苑裡鎮世界路1段79-1號,037-774103,037-855082
全家苑裡金世界店,,O,苗栗縣,苑裡鎮,苑裡金世界,016626,56626,苗栗縣苑裡鎮世界路2段268號,037-775183,037-857210
全家苑裡忠信店,O,,苗栗縣,苑裡鎮,苑裡忠信,022649,62649,苗栗縣苑裡鎮西平里忠信路49號,037-,037-860896
全家苑裡新信義店,O,,苗栗縣,苑裡鎮,苑裡新信義,024334,50878,苗栗縣苑裡鎮苑東里建國路56-2號,037-775232,037-856811
全家苗栗中山店,,O,苗栗縣,苗栗市,苗栗中山,023483,15262,苗栗縣苗栗市高苗里中山路986之4號一樓,037-775213,037-336919
全家苗栗新農會店,,O,苗栗縣,苗栗市,苗栗新農會,017969,52450,苗栗縣苗栗市中苗里14鄰中山路524號1樓,037-775085,037-359757
全家苗栗富樂店,,O,苗栗縣,苗栗市,苗栗富樂,017377,18788,苗栗縣苗栗市中正路399號一樓,037-775219,037-358638
全家苗栗大利店,O,,苗栗縣,苗栗市,苗栗大利,023112,14319,苗栗縣苗栗市中正路1132號,037-775210,037-369349
全家苗栗新大發店,,O,苗栗縣,苗栗市,苗栗新大發,016587,52339,苗栗縣苗栗市福安里22鄰中華路673號,037-775209,037-261796
全家苗栗福麗店,,O,苗栗縣,苗栗市,苗栗福麗,020249,51267,苗栗縣苗栗市民族路132號1樓,037-775233,037-378597
全家苗栗玉清店,,O,苗栗縣,苗栗市,苗栗玉清,017708,12875,苗栗縣苗栗市玉清里玉清路38號1樓,037-775215,037-373733
全家苗栗自治店,,O,苗栗縣,苗栗市,苗栗自治,021211,11504,苗栗縣苗栗市自治路162號,037-775217,037-368221
全家苗栗文發店,,O,苗栗縣,苗栗市,苗栗文發,023133,63133,苗栗縣苗栗市至公路581號,037-,037-371877
全家苗栗府前店,,O,苗栗縣,苗栗市,苗栗府前,021276,61276,苗栗縣苗栗市府前路106號,037-774107,037-356710
全家苗栗真興店,O,,苗栗縣,苗栗市,苗栗真興,019407,51869,苗栗縣苗栗市為公路540號,037-775030,037-265972
全家苗栗英才店,,O,苗栗縣,苗栗市,苗栗英才,024122,14025,苗栗縣苗栗市英才路127號,037-775218,037-372848
全家苗栗金大千店,,O,苗栗縣,苗栗市,苗栗金大千,021252,60804,苗栗縣苗栗市恭敬路18號,037-774102,037-361982
全家苗栗嘉新店,O,,苗栗縣,苗栗市,苗栗嘉新,020571,19807,苗栗縣苗栗市國華路126號,037-775223,037-267843
全家苗栗大勝店,,O,苗栗縣,苗栗市,苗栗大勝,024534,19231,苗栗縣苗栗市新東街142號,037-775211,037-325993
全家造橋朝陽店,,O,苗栗縣,造橋鄉,造橋朝陽,020939,12331,苗栗縣造橋鄉朝陽村朝陽路127號,037-775227,037-562446
全家頭屋雙龍店,O,,苗栗縣,頭屋鄉,頭屋雙龍,016186,18678,苗栗縣頭屋鄉尖豐路135-2號,037-775216,037-252310
全家公館新鶴岡店,,O,苗栗縣,公館鄉,公館新鶴岡,018283,51870,苗栗縣公館鄉鶴山村7鄰鶴山235之1號1樓,037-775200,037-237605
全家公館金交流店,,O,苗栗縣,公館鄉,公館金交流,020492,52519,苗栗縣公館鄉玉谷村14鄰向陽31號1樓,037-775013,037-233561
全家公館福星店,,O,苗栗縣,公館鄉,公館福星,018711,58711,苗栗縣公館鄉福星村福星200號,037-775342,037-233702
全家公館農會店,,O,苗栗縣,公館鄉,公館農會,015291,55291,苗栗縣公館鄉忠孝路227號,037-775029,037-237517
全家大湖重機店,,O,苗栗縣,大湖鄉,大湖重機,020305,60305,苗栗縣大湖鄉富興村4鄰法雲寺6-10號,037-775394,037-990095
全家大湖金湖店,,O,苗栗縣,大湖鄉,大湖金湖,019665,59665,苗栗縣大湖鄉中原路87-2號,037-775597,037-990830
全家大湖新南昌店,,O,苗栗縣,大湖鄉,大湖新南昌,020107,51817,苗栗縣大湖鄉南昌路20號,037-775202,037-995457
全家銅鑼朝陽店,O,,苗栗縣,銅鑼鄉,銅鑼朝陽,019248,59248,苗栗縣銅鑼鄉朝陽村朝東43之10號,037-775352,037-985738
全家銅鑼金銅鑼店,,O,苗栗縣,銅鑼鄉,銅鑼金銅鑼,022517,58440,苗栗縣銅鑼鄉中正路133號,037-775340,037-982922
全家銅鑼工業店,O,,苗栗縣,銅鑼鄉,銅鑼工業,019368,54528,苗栗縣銅鑼鄉中平村中興路3之1號1樓,037-775338,037-232502
全家銅鑼新福興店,,O,苗栗縣,銅鑼鄉,銅鑼新福興,020106,52424,苗栗縣銅鑼鄉福興村13鄰平陽路40-6號1樓,037-775285,037-981203
全家銅鑼力積店,,O,苗栗縣,銅鑼鄉,銅鑼力積,023170,63170,苗栗縣銅鑼鄉銅科七路8號1樓,037-,037-980538
全家銅鑼京元店,,O,苗栗縣,銅鑼鄉,銅鑼京元,021569,53741,苗栗縣銅鑼鄉銅科北路8號4樓,037-,037-987616
全家三義休息站店,,O,苗栗縣,三義鄉,三義休息站,018346,58346,苗栗縣三義鄉西湖村下湖5-10號,037-,037-870372
全家三義金美店,O,,苗栗縣,三義鄉,三義金美,019907,59907,苗栗縣三義鄉廣盛村八股路22-3號,037-775782,037-877823
全家三義三福店,,O,苗栗縣,三義鄉,三義三福,021053,61053,苗栗縣三義鄉廣盛村重河路63號,037-774112,037-870175
全家卓蘭上新店,,O,苗栗縣,卓蘭鎮,卓蘭上新,023094,13904,苗栗縣卓蘭鎮上新里19鄰上新12號,04-37007822,04-25898473
全家卓蘭鄉城店,,O,苗栗縣,卓蘭鎮,卓蘭鄉城,020331,60331,苗栗縣卓蘭鎮豐田里豐田30-2號2樓,037-775349,04-25891158
全家卓蘭水梨店,,O,苗栗縣,卓蘭鎮,卓蘭水梨,016313,56313,苗栗縣卓蘭鎮中正路48號,04-775126,04-25897758
全家台中狀元店,,O,臺中市,中區,台中狀元,019550,13854,臺中市中區綠川里中山路19號21號1樓,04-37007221,04-22299329
全家台中鑫華店,,O,臺中市,中區,台中鑫華,017182,19230,臺中市中區中華路一段152號,04-37007450,04-22259116
全家台中日新店,,O,臺中市,中區,台中日新,017160,13220,臺中市中區中華路一段109號,04-37007305,04-22244999
全家台中萬代福店,,O,臺中市,中區,台中萬代福,017816,57816,臺中市中區公園路42號,04-37070456,04-22010133
全家台中新公園店,,O,臺中市,中區,台中新公園,021508,19305,臺中市中區公園路19-2號壹樓及地下室,04-37007270,04-22231801
全家台中新興中店,,O,臺中市,中區,台中新興中,018924,52745,臺中市中區公園路81號,04-37046761,04-22236602
全家台中台鐵店,,O,臺中市,中區,台中台鐵,023515,58569,臺中市中區臺灣大道1段1號,04-37046834,04-22240056
全家台灣大道店,,O,臺中市,中區,台灣大道,019666,59666,臺中市中區台灣大道1段531號,04-37073772,04-22290029
全家台中火車頭店,,O,臺中市,中區,台中火車頭,020327,60327,臺中市中區台灣大道1段1號1樓A03櫃位,04-37071913,04-22220207
全家台中驛前店,,O,臺中市,中區,台中驛前,022965,62965,臺中市中區台灣大道1段5號1樓,04-,04-22250748
全家台中日日新店,O,,臺中市,中區,台中日日新,019229,53698,臺中市中區民族路216號,04-37070093,04-22235772
全家台中建民店,,O,臺中市,中區,台中建民,016956,14034,臺中市中區民族路9號.11號,04-37007227,04-22203630
全家台中新市府店,O,,臺中市,中區,台中新市府,017533,53242,臺中市中區民權路86號,04-37070436,04-22291640
全家台中擎天店,,O,臺中市,中區,台中擎天,021021,61021,臺中市中區民權路162號1樓,04-37076195,04-22210096
全家台中成功店,,O,臺中市,中區,台中成功,023242,13012,臺中市中區成功路66號,04-37007321,04-22250379
全家台中繼成店,,O,臺中市,中區,台中繼成,022807,13165,"臺中市中區成功路106號,108號一樓",04-37007368,04-22262519
全家台中鑫貴店,,O,臺中市,中區,台中鑫貴,023486,51086,臺中市中區自由路二段103號壹樓,04-37007451,04-22232616
全家台中力行店,,O,臺中市,東區,台中力行,023911,13089,臺中市東區力行路212號1樓,04-37007238,04-23602447
全家台中展欣店,,O,臺中市,東區,台中展欣,019393,59393,臺中市東區十甲東路378號,04-37007513,04-22135303
全家台中十甲店,,O,臺中市,東區,台中十甲,015469,19028,臺中市東區十甲路262號一樓,04-37007239,04-22132931
全家台中鳳鳴店,,O,臺中市,東區,台中鳳鳴,016426,53608,臺中市東區大振街31號,04-37048960,04-22808292
全家台中公園東店,,O,臺中市,東區,台中公園東,021577,61577,臺中市東區公園東路130號,04-,04-22150025
全家台中金福仁店,,O,臺中市,東區,台中金福仁,023225,63225,臺中市東區自由二街85號1樓,04-,04-22153175
全家台中金自由店,,O,臺中市,東區,台中金自由,015495,55333,臺中市東區自由路三段95號,04-37073875,04-22136648
全家台中武聖店,,O,臺中市,東區,台中武聖,023890,60289,臺中市東區自由路四段165號1樓,04-37023501,04-22135265
全家台中東英店,,O,臺中市,東區,台中東英,019629,13822,臺中市東區東信里旱溪東路一段300號、301號1樓,04-37007216,04-22138121
全家台中金站二店,,O,臺中市,東區,台中金站二,017135,57135,臺中市東區和平街119-4號,04-37077403,04-22280086
全家台中樂成店,,O,臺中市,東區,台中樂成,019086,59086,臺中市東區東光園路568號1樓及夾層,04-37070589,04-22150016
全家台中東園店,,O,臺中市,東區,台中東園,023258,14002,臺中市東區東光園路536號,04-37007217,04-22154768
全家台中金東門店,,O,臺中市,東區,台中金東門,015398,55398,臺中市東區東門路118號,04-37023162,04-22806630
全家台中甲福店,,O,臺中市,東區,台中甲福,022922,62922,臺中市東區東英十五街300號,04-,04-22152125
全家台中長福店,,O,臺中市,東區,台中長福,023168,63168,臺中市東區長福路357號,04-,04-22139823
全家台中德國店,O,,臺中市,東區,台中德國,023853,63853,臺中市東區建德街71號,04-,04-22809137
全家台中旱溪東店,,O,臺中市,東區,台中旱溪東,021668,60159,臺中市東區振興路250號1樓,04-37079030,04-22134900
全家台中金礦店,,O,臺中市,東區,台中金礦,018543,58543,臺中市東區振興路44號1樓,04-37046793,04-22281695
全家台中新富台店,,O,臺中市,東區,台中新富台,015173,54451,臺中市東區富台東街72號1樓,04-37073590,04-22132761
全家台中金站店,,O,臺中市,東區,台中金站,017012,54879,臺中市東區復興路四段147號,04-37046035,04-22245956
全家台中金東店,,O,臺中市,東區,台中金東,020290,60290,臺中市東區精武東路85號,04-37070138,04-22150476
全家台中台安店,,O,臺中市,東區,台中台安,020336,60336,臺中市東區精武路122號,04-37072231,04-23606938
全家台中建國市店,,O,臺中市,東區,台中建國市,021626,60112,臺中市東區樂業二路60號1樓,04-37046613,04-22135315
全家台中長樂店,,O,臺中市,東區,台中長樂,019015,19278,臺中市東區樂業路342號,04-37007226,04-22134614
全家台中金大慶店,,O,臺中市,南區,台中金大慶,017115,50090,臺中市南區大慶街二段8號,04-37074942,04-22600280
全家台中樹德里店,,O,臺中市,南區,台中樹德里,022637,62637,臺中市南區大慶街2段49號,04-,04-22652611
全家台中新時代店,,O,臺中市,南區,台中新時代,019096,54572,臺中市南區工學二街95號一樓,04-37023957,04-22608615
全家台中進步店,,O,臺中市,南區,台中進步,018628,50670,臺中市南區工學北路122號1樓,04-37074936,04-22650685
全家台中國資圖店,,O,臺中市,南區,台中國資圖,023805,63805,臺中市南區五權南路100號1樓商店區,04-,04-22636629
全家台中登陽店,,O,臺中市,南區,台中登陽,017076,57076,臺中市南區文心南路548號,04-37077402,04-22654239
全家台中忠孝夜店,O,,臺中市,南區,台中忠孝夜,022736,50256,臺中市南區忠孝路102號,04-37007816,04-22852580
全家台中大安店,O,,臺中市,南區,台中大安,020652,50516,臺中市南區忠明南路730巷23號1樓,04-37074955,04-22603275
全家台中金獅店,,O,臺中市,南區,台中金獅,018890,13968,臺中市南區東興路一段16號,04-37074951,04-22633016
全家台中崇倫店,,O,臺中市,南區,台中崇倫,023101,13561,臺中市南區南屯路一段273號,04-37074929,04-23766132
全家台中金南門店,,O,臺中市,南區,台中金南門,016427,19381,臺中市南區南門路57號1F,04-37074946,04-22856435
全家台中新高橋店,,O,臺中市,南區,台中新高橋,023218,52367,臺中市南區建國北路一段250號,04-37074694,04-23726342
全家台中汝川店,,O,臺中市,南區,台中汝川,021257,50513,臺中市南區建國北路一段110號(汝川醫療大樓B1),04-37007815,04-24715784
全家台中中山壹店,,O,臺中市,南區,台中中山壹,023856,60448,臺中市南區建國北路1段110號,04-,04-24710201
全家台中帝國店,,O,臺中市,南區,台中帝國,016392,13563,臺中市南區美村南路153、155號1樓,04-37074952,04-22600448
全家台中柳川店,,O,臺中市,南區,台中柳川,018915,13468,臺中市南區美村路二段16號、18號1樓,04-37074925,04-23756530
全家台中和美店,,O,臺中市,南區,台中和美,019289,59289,臺中市南區美村路2段253號,04-37070232,04-22650806
全家台中中興二店,,O,臺中市,南區,台中中興二,020232,53965,臺中市南區國光路250號,04-37070118,04-22856331
全家台中復興北店,,O,臺中市,南區,台中復興北,021116,61116,臺中市南區復興北路300號,04-37070350,04-22650810
全家台中樹仔腳店,,O,臺中市,南區,台中樹仔腳,022139,59046,臺中市南區復興路一段33號,04-37073991,04-22657425
全家台中興美店,,O,臺中市,南區,台中興美,015280,14231,臺中市南區復興路二段99巷18號,04-37074919,04-22600991
全家台中福田二店,,O,臺中市,南區,台中福田二,019043,59043,臺中市南區福田二街336號,04-37073737,04-22650550
全家台中福田店,O,,臺中市,南區,台中福田,015695,18717,臺中市南區福田路15號1樓,04-37074940,04-22614416
全家台中興大店,,O,臺中市,南區,台中興大,021047,13425,"臺中市南區積善里學府路51號,53號",04-37074918,04-22851742
全家台中新學府店,,O,臺中市,南區,台中新學府,023921,52218,臺中市南區學府路168巷2號,04-37073631,04-22206022
全家台中四維店,,O,臺中市,西區,台中四維,022575,13560,臺中市西區三民路一段172—5、172—6號,04-37007312,04-22208900
全家台中署醫店,,O,臺中市,西區,台中署醫,023113,14147,臺中市西區三民路一段199號,04-22297537,04-22294799
全家台中正點店,,O,臺中市,西區,台中正點,016852,51281,臺中市西區三民路一段46號全部,04-37023033,04-23760313
全家台中精誠店,,O,臺中市,西區,台中精誠,022358,13039,臺中市西區大業路1號,04-37007351,04-23208160
全家台中全球店,,O,臺中市,西區,台中全球,018085,18976,臺中市西區中華路一段1-59號(全球影城),04-37007318,04-22255085
全家台中金五廊店,,O,臺中市,西區,台中金五廊,017600,57600,臺中市西區五廊街6號,04-37070217,04-22249566
全家台中五權五店,,O,臺中市,西區,台中五權五,015582,55582,臺中市西區五權五街143號1樓,04-37007763,04-23750622
全家台中公民店,,O,臺中市,西區,台中公民,023230,60328,臺中市西區五權路2-139號,04-37071062,04-23760067
全家台中金可店,,O,臺中市,西區,台中金可,019995,54571,臺中市西區五權路205號,04-37023438,04-22061722
全家台中市民店,O,,臺中市,西區,台中市民,021331,18677,臺中市西區公正路103號,04-23013796,04-23014035
全家台中師院店,,O,臺中市,西區,台中師院,021043,13296,臺中市西區民權路189號,04-37007250,04-22294029
全家台中尚美店,,O,臺中市,西區,台中尚美,020436,13889,臺中市西區向上北路192號.194號1樓,04-37007211,04-23013816
全家台中向上店,,O,臺中市,西區,台中向上,021965,13092,臺中市西區向上路一段36號,04-37007319,04-23017496
全家台中後龍店,,O,臺中市,西區,台中後龍,021667,13047,臺中市西區後龍街58號民權路302號,04-37007228,04-23012618
全家台中鑫美店,,O,臺中市,西區,台中鑫美,020622,50155,臺中市西區美村路一段22號,04-37007370,04-23284015
全家台中新美村店,,O,臺中市,西區,台中新美村,018041,58041,臺中市西區美村路1段610號,04-37074560,04-23780607
全家台中美美店,,O,臺中市,西區,台中美美,021905,61905,臺中市西區美村路1段177號,04-37024870,04-23010377
全家台中國泰金店,,O,臺中市,西區,台中國泰金,023356,63356,臺中市西區英才路530號1樓,04-,04-23017795
全家台中綠園道店,,O,臺中市,西區,台中綠園道,022762,56571,臺中市西區健行路1049號1樓,04-37047205,04-23233938
全家台中科博館店,O,,臺中市,西區,台中科博館,015380,50255,臺中市西區博館路117號,04-37007248,04-23297287
全家台中水岸店,,O,臺中市,西區,台中水岸,021899,61899,臺中市西區華美西街1段134號1樓及B1,04-37024873,04-23140233
全家台中高昇店,,O,臺中市,西區,台中高昇,021967,19092,臺中市西區華美街149之1號,04-37007255,04-23015087
全家台中金大益店,,O,臺中市,西區,台中金大益,022475,59066,臺中市西區精誠路238號,04-37070591,04-23200307
全家台中樂群店,,O,臺中市,西區,台中樂群,020620,13037,臺中市西區樂群街61之4號,04-37007353,04-23712316
全家台中篤行店,,O,臺中市,西區,台中篤行,015932,13015,臺中市西區篤行路188號,04-37007359,04-22023520
全家台中家豐店,,O,臺中市,西區,台中家豐,024182,60036,臺中市西區篤信街14號,04-37077465,04-22060006
全家台中一中街店,,O,臺中市,北區,台中一中街,020373,55512,臺中市北區一中街129號,04-37073876,04-22257909
全家台中一中讚店,,O,臺中市,北區,台中一中讚,016252,56252,臺中市北區一中街253號1樓,04-37074659,04-22250622
全家台中一中一店,,O,臺中市,北區,台中一中一,023898,57302,臺中市北區一中街1號1樓.地下1樓,04-37070064,04-22250678
全家台中中友店,,O,臺中市,北區,台中中友,024424,59101,臺中市北區三民路3段141-1號,04-37071030,04-22290506
全家台中學友店,,O,臺中市,北區,台中學友,017631,13405,臺中市北區三民路三段215號,04-37007358,04-22252991
全家台中嘉勝店,,O,臺中市,北區,台中嘉勝,016779,19362,臺中市北區大德街47號壹樓,04-37007277,04-22069198
全家台中高雅店,,O,臺中市,北區,台中高雅,018396,14164,臺中市北區中清路一段720號、722號,04-37007256,04-22916368
全家台中中清一店,,O,臺中市,北區,台中中清一,018616,58616,臺中市北區中清路一段370號,04-37046910,04-22020301
全家台中金中清店,,O,臺中市,北區,台中金中清,023332,62195,臺中市北區中清路一段83號,04-,04-22022869
全家台中錦華店,,O,臺中市,北區,台中錦華,020849,60849,臺中市北區中華路2段116號,04-37072652,04-22080067
全家台中五億店,,O,臺中市,北區,台中五億,022820,54031,臺中市北區五義街132號1樓,04-37073712,04-22077256
全家台中五權一店,,O,臺中市,北區,台中五權一,017941,57941,臺中市北區五權路356號1樓,04-37074315,04-22060109
全家台中光大店,,O,臺中市,北區,台中光大,022290,62290,臺中市北區公園路217號,04-,04-22060007
全家台中金太平店,,O,臺中市,北區,台中金太平,019207,59207,臺中市北區太平路66號1樓,04-37071282,04-22290207
全家台中太陽店,,O,臺中市,北區,台中太陽,018913,53394,臺中市北區明德里太原路一段450-1號,04-37047853,04-22022098
